MK18 1SB,0.00,0.00
MK18 1NH,0.02,0.01
MK18 1RS,0.03,0.02
MK18 1NT,0.04,0.02
MK18 1PU,0.04,0.02
MK18 1RP,0.05,0.03
MK18 1WR,0.06,0.04
MK18 9DD,0.08,0.05
MK18 9DF,0.08,0.05
MK18 8AW,0.08,0.05
MK18 8AX,0.08,0.05
MK18 9DL,0.08,0.05
MK18 8AZ,0.08,0.05
MK18 9DP,0.08,0.05
MK18 9DR,0.08,0.05
MK18 9DS,0.08,0.05
MK18 9DU,0.08,0.05
MK18 9DW,0.08,0.05
MK18 9DX,0.08,0.05
MK18 9BX,0.09,0.05
MK18 9AP,0.09,0.05
MK18 9AW,0.09,0.05
MK18 4YZ,0.09,0.05
MK18 5ZR,0.09,0.05
MK18 4DQ,0.09,0.05
MK18 1ZR,0.09,0.05
MK18 1TQ,0.09,0.05
MK18 1WZ,0.09,0.05
MK18 1AA,0.09,0.05
MK18 4ZS,0.09,0.05
MK18 8AR,0.09,0.05
MK18 9BW,0.09,0.05
MK18 1NU,0.09,0.06
MK18 1JN,0.11,0.07
MK18 1JP,0.11,0.07
MK18 1NQ,0.13,0.08
MK18 1GB,0.14,0.09
MK18 1NX,0.14,0.09
MK18 1BA,0.16,0.10
MK18 1UJ,0.16,0.10
MK18 1JX,0.16,0.10
MK18 1LA,0.16,0.10
MK18 1GD,0.17,0.10
MK18 1NS,0.17,0.10
MK18 1NR,0.17,0.11
MK18 1NJ,0.17,0.11
MK18 1NZ,0.18,0.11
MK18 1TD,0.18,0.11
MK18 1NW,0.18,0.11
MK18 1JT,0.18,0.11
MK18 1XG,0.19,0.12
MK18 1NG,0.20,0.12
MK18 1JU,0.20,0.12
MK18 1UW,0.20,0.13
MK18 1NP,0.21,0.13
MK18 1NL,0.21,0.13
MK18 1GA,0.21,0.13
MK18 1JZ,0.21,0.13
MK18 1FD,0.22,0.14
MK18 1XW,0.23,0.14
MK18 1UN,0.24,0.15
MK18 1EL,0.25,0.15
MK18 1NY,0.26,0.16
MK18 1HE,0.26,0.16
MK18 1JE,0.26,0.16
MK18 1HF,0.27,0.17
MK18 1GU,0.27,0.17
MK18 1EQ,0.27,0.17
MK18 1HL,0.28,0.17
MK18 1BP,0.28,0.18
MK18 1PD,0.29,0.18
MK18 1ND,0.29,0.18
MK18 1NB,0.29,0.18
MK18 1EH,0.29,0.18
MK18 1GT,0.30,0.18
MK18 1EW,0.30,0.18
MK18 1HG,0.30,0.19
MK18 1PB,0.31,0.19
MK18 1UP,0.32,0.20
MK18 1BS,0.32,0.20
MK18 1GP,0.32,0.20
MK18 1EN,0.32,0.20
MK18 1LB,0.33,0.20
MK18 1EY,0.33,0.21
MK18 1AF,0.34,0.21
MK18 1NA,0.34,0.21
